"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"15","399.47707314654286","524.1666873281105","0.009765625","0.01953125","0","2600","0.0013042582641956302","0.0013042582641956302","0","0.0013042582641956302","0.0013042582641956302","15_14:0.0014961292228190537;15_19:0.0023487668183122257","15_14:0.003646408642180743;15_19:0.002144274527898865","15_14:68;15_19:68","true"
"16","194.67616879693415","104.76061347109761","0.01123046875","0.02001953125","0.00244140625","2600","0.0002262348663081589","0.0002262348663081589","0","0.0002262348663081589","0.0002262348663081589","16_23:0.0020673524588088743;16_3:0.0017148923925528747","16_23:0.0017766890398654145;16_3:0.0027392659397238728","16_23:68;16_3:68","true"
"17","229.68078584445755","93.42032336738113","0.005126953125","0.00537109375","0.0048828125","2600","0.00019982199778303378","0.00019982199778303378","0","0.00019982199778303378","0.00019982199778303378","17_7:0.0020750962511145166;17_27:0.0016247198374708949","17_7:0.002136606634816157;17_27:1","17_7:68;17_27:68","true"
"18","159.0894777289944","254.1612521211028","0.003173828125","0.00537109375","0.0009765625","2600","0.000166814622089979","0.000166814622089979","0","0.000166814622089979","0.000166814622089979","18_11:0.001748885446964693;18_31:0.0011936986750223921","18_11:0.0019487595147426318;18_31:0.0015207306947777888","18_11:68;18_31:68","true"
"19","325.3578890464791","285.01243510373337","0.005859375","0.01025390625","0.00146484375","2600","0.0001835855640174768","0.0001835855640174768","0","0.0001835855640174768","0.0001835855640174768","19_35:0.0051701082017364675;19_15:0.0023487668183122257","19_35:1;19_15:0.002144274527898865","19_35:96;19_15:68","true"
"20","252.76225906301207","237.8027867873278","0.004638671875","0.0087890625","0.00048828125","2600","0.00012760399439020327","0.00012760399439020327","0","0.00012760399439020327","0.00012760399439020327","20_21:0.0010040563091473775","20_21:0.001929444594169244","20_21:68","true"
"21","281.08001653966","224.40943940025966","0.011962890625","0.00830078125","0.015625","2600","0.000912259335451296","0.000912259335451296","0","0.000912259335451296","0.000912259335451296","21_36:0.0016775974838982022;21_20:0.0010040563091473775;21_22:0.0015415828843048929","21_36:0.0017315748856142343;21_20:0.001929444594169244;21_22:0.0025601915686716825","21_36:68;21_20:68;21_22:68","true"
"22","112.54004437881797","126.2124165423913","0.004150390625","0.0078125","0.00048828125","2600","0.0002835024671874958","0.0002835024671874958","0","0.0002835024671874958","0.0002835024671874958","22_23:0.0016995038677956598;22_21:0.0015415828843048929","22_23:0.004079266944509691;22_21:0.0025601915686716825","22_23:68;22_21:68","true"
"23","326.1334977816642","240.30715802222122","0.036376953125","0.046875","0.02587890625","2600","0.00028567995586738416","0.00028567995586738416","0","0.00028567995586738416","0.00028567995586738416","23_22:0.0016995038677956598;23_24:0.0015434453083063293;23_16:0.0020673524588088743","23_22:0.004079266944509691;23_24:0.0018591268319005927;23_16:0.0017766890398654145","23_22:68;23_24:68;23_16:68","true"
"24","359.6754933286818","95.20501071778216","0.0087890625","0.00927734375","0.00830078125","2600","0.000148170411951198","0.000148170411951198","0","0.000148170411951198","0.000148170411951198","24_23:0.0015434453083063293;24_25:0.0012708734125018994","24_23:0.0018591268319005927;24_25:0.0017734480708198885","24_23:68;24_25:68","true"
"25","203.4014830737954","77.43223820674037","0.009521484375","0.013671875","0.00537109375","2600","0.00028493203763290656","0.00028493203763290656","0","0.00028493203763290656","0.00028493203763290656","25_24:0.0012708734125018994;25_26:0.006312589848256056;25_37:0.0018660109144876813","25_24:0.0017734480708198885;25_26:1;25_37:0.0028553964814450328","25_24:68;25_26:80;25_37:68","true"
"26","166.93609737919448","89.21718342331712","0.00634765625","0.009765625","0.0029296875","2600","0.00020318074076735774","0.00020318074076735774","0","0.00020318074076735774","0.00020318074076735774","26_25:0.006312589848256056;26_27:0.002013195962804082","26_25:1;26_27:0.0029120384199918248","26_25:80;26_27:68","true"
"27","173.35765211095887","89.58388922077125","0.004638671875","0.00732421875","0.001953125","2600","0.00021095240631865717","0.00021095240631865717","0","0.00021095240631865717","0.00021095240631865717","27_26:0.002013195962804082;27_28:0.002579091859272631;27_17:0.0016247198374708949","27_26:0.0029120384199918248;27_28:0.004249955156503088;27_17:1","27_26:68;27_28:68;27_17:68","true"
"28","152.43053694999304","72.74812100304746","0.01025390625","0.0185546875","0.001953125","2600","0.0002897572681335612","0.0002897572681335612","0","0.0002897572681335612","0.0002897572681335612","28_27:0.002579091859272631;28_29:0.001466519381209369","28_27:0.004249955156503088;28_29:0.0033326045988547603","28_27:68;28_29:68","true"
"29","203.21713990322596","19.297776183862865","0.003662109375","0.00390625","0.00341796875","2600","0.00016859207116158968","0.00016859207116158968","0","0.00016859207116158968","0.00016859207116158968","29_38:0.00146986228120502;29_28:0.001466519381209369;29_30:0.0024435479477337707","29_38:0.002518383105834243;29_28:0.0033326045988547603;29_30:0.0032380035655723838","29_38:68;29_28:68;29_30:68","true"
"30","132.8113842099783","161.20170163908978","0.00439453125","0.00732421875","0.00146484375","2600","0.0001748118447271041","0.0001748118447271041","0","0.0001748118447271041","0.0001748118447271041","30_31:0.0013329104176424411;30_29:0.0024435479477337707","30_31:0.00326680384301431;30_29:0.0032380035655723838","30_31:68;30_29:68","true"
