bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin,mean_bipartivity_in_bin,dataset_name,nodes,density_category
76,0.434286,0.440000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
77,0.440000,0.445714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
78,0.445714,0.451429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
79,0.451429,0.457143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
80,0.457143,0.462857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
81,0.462857,0.468571,244,0,0.000000,0.464286,0.764081,8N_Bipartite_Medium,8,Medium
82,0.468571,0.474286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
83,0.474286,0.480000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
84,0.480000,0.485714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
85,0.485714,0.491429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
86,0.491429,0.497143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
87,0.497143,0.502857,93,0,0.000000,0.500000,0.721768,8N_Bipartite_Medium,8,Medium
88,0.502857,0.508571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
89,0.508571,0.514286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
90,0.514286,0.520000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
91,0.520000,0.525714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
92,0.525714,0.531429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
93,0.531429,0.537143,47,0,0.000000,0.535714,0.686134,8N_Bipartite_Medium,8,Medium
94,0.537143,0.542857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
95,0.542857,0.548571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
96,0.548571,0.554286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
97,0.554286,0.560000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
98,0.560000,0.565714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
99,0.565714,0.571429,17,0,0.000000,0.586134,0.647522,8N_Bipartite_Medium,8,Medium
0,0.000000,0.005714,4,4,100.000000,0.000000,1.000000,8N_Bipartite_Sparse,8,Sparse
1,0.005714,0.011429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
2,0.011429,0.017143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
3,0.017143,0.022857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
4,0.022857,0.028571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
5,0.028571,0.034286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
6,0.034286,0.040000,58,58,100.000000,0.035714,1.000000,8N_Bipartite_Sparse,8,Sparse
7,0.040000,0.045714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
8,0.045714,0.051429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
9,0.051429,0.057143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
10,0.057143,0.062857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
11,0.062857,0.068571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
12,0.068571,0.074286,234,234,100.000000,0.071429,1.000000,8N_Bipartite_Sparse,8,Sparse
13,0.074286,0.080000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
14,0.080000,0.085714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
15,0.085714,0.091429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
16,0.091429,0.097143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
17,0.097143,0.102857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
18,0.102857,0.108571,663,651,98.190045,0.107143,0.998240,8N_Bipartite_Sparse,8,Sparse
19,0.108571,0.114286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
20,0.114286,0.120000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
21,0.120000,0.125714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
22,0.125714,0.131429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
23,0.131429,0.137143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
24,0.137143,0.142857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
25,0.142857,0.148571,1127,1029,91.304348,0.142857,0.991994,8N_Bipartite_Sparse,8,Sparse
26,0.148571,0.154286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
27,0.154286,0.160000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
28,0.160000,0.165714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
29,0.165714,0.171429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
30,0.171429,0.177143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
31,0.177143,0.182857,1570,1300,82.802548,0.178571,0.985823,8N_Bipartite_Sparse,8,Sparse
32,0.182857,0.188571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
33,0.188571,0.194286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
34,0.194286,0.200000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
35,0.200000,0.205714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
36,0.205714,0.211429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
37,0.211429,0.217143,1766,1145,64.835787,0.214286,0.971380,8N_Bipartite_Sparse,8,Sparse
38,0.217143,0.222857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
39,0.222857,0.228571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
40,0.228571,0.234286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
41,0.234286,0.240000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
42,0.240000,0.245714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
43,0.245714,0.251429,1684,754,44.774347,0.250000,0.954696,8N_Bipartite_Sparse,8,Sparse
44,0.251429,0.257143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
45,0.257143,0.262857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
46,0.262857,0.268571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
47,0.268571,0.274286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
48,0.274286,0.280000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
49,0.280000,0.285714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
50,0.285714,0.291429,1259,277,22.001589,0.285714,0.931195,8N_Bipartite_Sparse,8,Sparse
51,0.291429,0.297143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
52,0.297143,0.302857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
53,0.302857,0.308571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
54,0.308571,0.314286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
55,0.314286,0.320000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
56,0.320000,0.325714,834,70,8.393285,0.321429,0.899838,8N_Bipartite_Sparse,8,Sparse
57,0.325714,0.331429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
58,0.331429,0.337143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
59,0.337143,0.342857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
60,0.342857,0.348571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
61,0.348571,0.354286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
62,0.354286,0.360000,478,17,3.556485,0.357143,0.867191,8N_Bipartite_Sparse,8,Sparse
63,0.360000,0.365714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
64,0.365714,0.371429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
65,0.371429,0.377143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
66,0.377143,0.382857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
67,0.382857,0.388571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
68,0.388571,0.394286,199,0,0.000000,0.392857,0.832655,8N_Bipartite_Sparse,8,Sparse
69,0.394286,0.400000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
70,0.400000,0.405714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
71,0.405714,0.411429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
