dataset_name,nodes,density_category,run_path,num_samples,bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,64,0.365714,0.371429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,65,0.371429,0.377143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,66,0.377143,0.382857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,67,0.382857,0.388571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,68,0.388571,0.394286,48,8,16.666667,0.392857
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,69,0.394286,0.400000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,70,0.400000,0.405714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,71,0.405714,0.411429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,72,0.411429,0.417143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,73,0.417143,0.422857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,74,0.422857,0.428571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,75,0.428571,0.434286,23,3,13.043478,0.428571
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,76,0.434286,0.440000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,77,0.440000,0.445714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,78,0.445714,0.451429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,79,0.451429,0.457143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,80,0.457143,0.462857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,81,0.462857,0.468571,16,0,0.000000,0.464286
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,82,0.468571,0.474286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,83,0.474286,0.480000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,84,0.480000,0.485714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,85,0.485714,0.491429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,86,0.491429,0.497143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,87,0.497143,0.502857,8,0,0.000000,0.500000
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,88,0.502857,0.508571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,89,0.508571,0.514286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,90,0.514286,0.520000,0,0,NA,NA
