run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_bipartite,bipartite_value,mmd_bipartite,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8,Bipartite,Medium,0.3066,0.2887,0.0028,1.0889,0.9255,0.0258,1.3672,0.0000,0.3555,0.3164,1.0000,0.3674,0.0300,0.1953,31.0547,100.0000,76.9531
evaluation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8,Bipartite,Sparse,0.2539,0.2256,0.0640,1.0610,0.8271,0.0332,0.9766,0.0000,0.2080,0.4863,1.0000,0.2073,0.0162,0.1953,45.5078,100.0000,59.7656
evaluation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8,ER,Dense,0.6630,0.7618,0.2829,1.2091,1.0256,0.0115,16.4883,24.3650,0.3080,0.0000,0.0000,0.0000,0.0219,0.0000,27.1484,99.8047,87.1094
evaluation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8,ER,Medium,0.4648,0.4420,0.0371,1.3302,1.2616,-0.0010,5.5312,4.3100,0.0245,0.0195,0.0050,0.0001,0.0004,0.0000,3.5156,100.0000,97.2656
evaluation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8,ER,Sparse,0.3138,0.2207,0.3862,1.1675,1.0063,0.0100,1.8652,0.5650,0.1285,0.2578,0.5150,0.0508,0.0181,0.0000,31.6406,100.0000,77.5391
simulation_results/8N_Bipartite/run_20250708_220824/Dense,Evaluation,8,Bipartite,Dense,0.3511,0.3110,0.0460,1.0791,0.9935,0.0083,1.6836,0.0000,0.4583,0.2461,1.0000,0.4470,0.0223,0.3906,21.2891,99.6094,83.7891
simulation_results/8N_Bipartite/run_20250708_220824/Medium,Evaluation,8,Bipartite,Medium,0.3324,0.2887,0.0489,1.0685,0.9255,0.0273,1.4062,0.0000,0.3774,0.2930,1.0000,0.3931,0.0215,0.0000,28.1250,100.0000,79.4922
simulation_results/8N_Bipartite/run_20250708_220824/Sparse,Evaluation,8,Bipartite,Sparse,0.2675,0.2256,0.0880,0.9923,0.8271,0.0171,0.7793,0.0000,0.1811,0.5059,1.0000,0.1918,0.0109,0.3906,45.5078,99.4141,62.8906
simulation_results/8N_Bipartite/run_20250709_142105/Dense,Evaluation,8,Bipartite,Dense,0.3503,0.3110,0.0447,1.0737,0.9935,0.0129,1.5430,0.0000,0.3969,0.2969,1.0000,0.3887,0.0208,0.0000,26.7578,100.0000,85.9375
simulation_results/8N_Bipartite/run_20250709_142105/Medium,Evaluation,8,Bipartite,Medium,0.3313,0.2887,0.0456,1.0955,0.9255,0.0342,1.4727,0.0000,0.4098,0.3086,1.0000,0.3759,0.0247,0.0000,30.4688,99.8047,81.4453
simulation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8,Bipartite,Sparse,0.2550,0.2256,0.0552,0.9991,0.8271,0.0276,0.5703,0.0000,0.0957,0.6230,1.0000,0.1115,0.0049,0.0000,53.3203,99.8047,56.2500
simulation_results/8N_Bipartite/run_20250714_104340/Dense,Evaluation,8,Bipartite,Dense,0.3308,0.3110,0.0134,1.0276,0.9935,0.0023,1.3027,0.0000,0.3384,0.3457,1.0000,0.3365,0.0239,0.0000,29.2969,99.6094,78.3203
simulation_results/8N_Bipartite/run_20250714_104340/Medium,Evaluation,8,Bipartite,Medium,0.3144,0.2887,0.0147,1.0365,0.9255,0.0189,1.1973,0.0000,0.3326,0.3594,1.0000,0.3226,0.0254,0.0000,35.9375,99.8047,76.7578
simulation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8,Bipartite,Sparse,0.2618,0.2256,0.0581,1.0209,0.8271,0.0261,0.7266,0.0000,0.1489,0.5488,1.0000,0.1598,0.0126,0.1953,48.6328,99.0234,59.3750
simulation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8,Bipartite,Dense,0.2403,0.3110,0.1649,0.9357,0.9935,0.0002,0.5840,0.0000,0.0947,0.6309,1.0000,0.1069,0.0399,0.3906,45.3125,100.0000,52.5391
simulation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8,Bipartite,Medium,0.2704,0.2887,0.0128,1.0115,0.9255,0.0083,0.8223,0.0000,0.1730,0.5215,1.0000,0.1798,0.0270,0.0000,51.9531,100.0000,63.6719
simulation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8,Bipartite,Sparse,0.2255,0.2256,0.0399,0.9235,0.8271,0.0022,0.3867,0.0000,0.0485,0.6934,1.0000,0.0737,0.0051,0.1953,63.2812,99.0234,43.7500
simulation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8,ER,Dense,0.7003,0.7618,0.1734,1.1433,1.0256,0.0030,19.4043,24.3650,0.1631,0.0000,0.0000,0.0000,0.0098,0.0000,40.0391,100.0000,75.5859
simulation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8,ER,Medium,0.4610,0.4420,0.0388,1.2721,1.2616,-0.0027,5.5449,4.3100,0.0219,0.0312,0.0050,0.0005,-0.0005,0.0000,3.1250,100.0000,98.0469
simulation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8,ER,Sparse,0.2862,0.2207,0.2779,1.1190,1.0063,0.0028,1.4746,0.5650,0.0816,0.3184,0.5150,0.0291,0.0103,0.0000,41.9922,100.0000,72.4609
