run_type,num_nodes,dataset_name,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,edge_prob_diff,generated_mean_degree,dataset_mean_degree,mean_degree_diff,generated_std_degree,dataset_std_degree,std_degree_diff,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,clustering_coeff_diff,gen_avg_shortest_path,dataset_avg_shortest_path,avg_shortest_path_diff
Simulation,8,8N_Bipartite_Medium,legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,512,54.8828,100.0000,0.3008,0.2887,0.0120,2.1055,2.0212,0.0843,0.9824,1.1318,0.1494,0.1011,0.0000,0.1011,1.9172,1.9038,0.0134
Evaluation,8,8N_Bipartite_Sparse,Sparse,512,30.2734,100.0000,0.3050,0.2256,0.0794,2.1348,1.5789,0.5558,1.0359,1.0006,0.0353,0.1845,0.0000,0.1845,1.8868,1.9347,0.0479
Evaluation,8,8N_Bipartite_Sparse,Sparse,512,31.8359,100.0000,0.2937,0.2256,0.0682,2.0562,1.5789,0.4772,1.0431,1.0006,0.0425,0.1735,0.0000,0.1735,1.8638,1.9347,0.0709
Evaluation,8,8N_Bipartite_Sparse,Sparse,512,33.5938,100.0000,0.3039,0.2256,0.0784,2.1274,1.5789,0.5485,1.0593,1.0006,0.0587,0.1714,0.0000,0.1714,1.8700,1.9347,0.0647
Evaluation,8,8N_Bipartite_Sparse,Sparse,512,48.6328,100.0000,0.2539,0.2256,0.0283,1.7773,1.5789,0.1984,0.9962,1.0006,0.0045,0.1406,0.0000,0.1406,1.8676,1.9347,0.0671
Simulation,8,8N_Bipartite_Sparse,Sparse,512,50.5859,100.0000,0.2675,0.2256,0.0419,1.8726,1.5789,0.2936,0.9652,1.0006,0.0354,0.1115,0.0000,0.1115,1.8949,1.9347,0.0398
Simulation,8,8N_Bipartite_Sparse,Sparse,512,54.8828,100.0000,0.2618,0.2256,0.0362,1.8325,1.5789,0.2536,0.9805,1.0006,0.0202,0.1038,0.0000,0.1038,1.8989,1.9347,0.0358
Simulation,8,8N_Bipartite_Sparse,Sparse,512,62.3047,100.0000,0.2550,0.2256,0.0294,1.7847,1.5789,0.2057,0.9745,1.0006,0.0262,0.0816,0.0000,0.0816,1.9183,1.9347,0.0164
Simulation,8,8N_Bipartite_Sparse,Sparse,512,69.3359,100.0000,0.2255,0.2256,0.0000,1.5786,1.5789,0.0003,0.9310,1.0006,0.0696,0.0589,0.0000,0.0589,1.8770,1.9347,0.0577
Simulation,8,8N_Bipartite_Sparse,legacy_run_params_8N_Bipartite_Sparse_LR0.008104680980277149_SIGMA0.5060057247547819_INIT0.7277470256132488_MAXWEIGHT3,512,75.0000,100.0000,0.2066,0.2256,0.0190,1.4463,1.5789,0.1327,0.8709,1.0006,0.1297,0.0470,0.0000,0.0470,1.8246,1.9347,0.1101
