run_id,run_type,dataset_name,num_nodes,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,generated_mean_degree,dataset_mean_degree,generated_std_degree,dataset_std_degree,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,gen_avg_shortest_path,dataset_avg_shortest_path,edge_prob_diff,mean_degree_diff,std_degree_diff,clustering_coeff_diff,avg_shortest_path_diff
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Sparse,Evaluation,18N_Bipartite_Sparse,18,Sparse,512,0.9766,100,0.1622,0.0747,2.7582,1.2702,1.459,1.1675,0.1347,0,2.542,2.5455,0.0875,1.4881,0.2915,0.1347,0.0035
evaluation_results/18N_Bipartite/run_20250717_212628/Dense,Evaluation,18N_Bipartite_Dense,18,Dense,512,0,100,0.2302,0.3697,3.9134,6.2841,1.6593,2.8588,0.2128,0,2.1274,1.7198,0.1395,2.3707,1.1995,0.2128,0.4076
evaluation_results/18N_Bipartite/run_20250717_212628/Medium,Evaluation,18N_Bipartite_Medium,18,Medium,512,0,100,0.4589,0.1967,7.8014,3.3441,2.0947,2.0236,0.4515,0,1.5517,2.2788,0.2622,4.4573,0.071,0.4515,0.7271
evaluation_results/18N_Bipartite/run_20250717_212628/Sparse,Evaluation,18N_Bipartite_Sparse,18,Sparse,512,0,100,0.3842,0.0747,6.5317,1.2702,1.9329,1.1675,0.3804,0,1.6619,2.5455,0.3095,5.2615,0.7654,0.3804,0.8835
evaluation_results/18N_ER/run_20250717_121147/Dense,Evaluation,18N_ER_Dense,18,Dense,512,0,0,0.6974,0.8255,11.8555,14.0329,1.7712,1.8947,0.6972,0.826,1.3026,1.1745,0.1281,2.1774,0.1235,0.1288,0.1281
evaluation_results/18N_ER/run_20250717_121147/Medium,Evaluation,18N_ER_Medium,18,Medium,512,0,0,0.4454,0.4428,7.572,7.5274,1.9095,2.2226,0.4441,0.4432,1.5702,1.5813,0.0026,0.0446,0.3131,0.0009,0.0111
evaluation_results/18N_ER/run_20250717_121147/Sparse,Evaluation,18N_ER_Sparse,18,Sparse,512,0,17.7,0.346,0.1497,5.8813,2.5446,1.8338,1.6892,0.3409,0.1135,1.7389,2.5259,0.1963,3.3367,0.1446,0.2274,0.787
evaluation_results/8N_Bipartite/run_20250708_220824/Dense,Evaluation,8N_Bipartite_Dense,8,Dense,512,16.2109,100,0.3742,0.311,2.6191,2.1772,1.0552,1.1602,0.2467,0,1.8146,1.9132,0.0631,0.4419,0.105,0.2467,0.0986
evaluation_results/8N_Bipartite/run_20250708_220824/Medium,Evaluation,8N_Bipartite_Medium,8,Medium,512,14.2578,100,0.3707,0.2887,2.5947,2.0212,1.0762,1.1318,0.2635,0,1.8238,1.9038,0.0819,0.5735,0.0556,0.2635,0.08
evaluation_results/8N_Bipartite/run_20250708_220824/Sparse,Evaluation,8N_Bipartite_Sparse,8,Sparse,512,30.2734,100,0.305,0.2256,2.1348,1.5789,1.0359,1.0006,0.1845,0,1.8868,1.9347,0.0794,0.5558,0.0353,0.1845,0.0479
evaluation_results/8N_Bipartite/run_20250709_142105/Dense,Evaluation,8N_Bipartite_Dense,8,Dense,512,14.6484,100,0.382,0.311,2.6738,2.1772,1.055,1.1602,0.2597,0,1.7991,1.9132,0.0709,0.4966,0.1052,0.2597,0.114
evaluation_results/8N_Bipartite/run_20250709_142105/Medium,Evaluation,8N_Bipartite_Medium,8,Medium,512,17.5781,100,0.3732,0.2887,2.6123,2.0212,1.087,1.1318,0.2535,0,1.8176,1.9038,0.0844,0.5911,0.0447,0.2535,0.0862
evaluation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8N_Bipartite_Sparse,8,Sparse,512,31.8359,100,0.2937,0.2256,2.0562,1.5789,1.0431,1.0006,0.1735,0,1.8638,1.9347,0.0682,0.4772,0.0425,0.1735,0.0709
